id	category	requirement	source	status	implementation_evidence	verification_evidence	owner	closure_target	production_blocker
G1	mandatory_gate	system_identity	v0.6-g1+v0.7-g1	implemented	docs/c3eco_certification_profile.md;schemas/c3eco/profile_v2.schema.json;Compiler_new_ws/Short_Hand/src/visitors/SemanticAnalyzer.cpp	scripts/check_c3eco_certification_profile.sh	language-contract	PR88	no
G2	mandatory_gate	functional_unit	v0.6-g2+v0.7-g2	implemented	docs/c3eco_certification_profile.md;tests/c3eco/profile/c3eco_profile_v2.short;docs/mlir_lowering.md	scripts/check_c3eco_certification_profile.sh;tests/mlir_lowering/test_runtime_lowering.py	language-contract	PR88	no
G3	mandatory_gate	boundary_declaration	v0.6-g3+v0.7-g3	implemented	docs/c3eco_certification_profile.md;tests/c3eco/profile/c3eco_profile_v2.short;docs/mlir_lowering.md	scripts/check_c3eco_certification_profile.sh;tests/mlir_lowering/test_runtime_lowering.py	language-contract	PR88	no
G4	mandatory_gate	energy_evidence	v0.6-g4+v0.7-g4	implemented	docs/c3eco_measurement_workbook.md;Compiler_new_ws/Short_Hand/src/evidence/MeasurementWorkbook.cpp;schemas/c3eco_measurement_workbook_v1.schema.json	scripts/check_c3eco_measurement_workbook.sh	measurement-runtime	PR89	no
G5	mandatory_gate	carbon_and_cost_calculation_where_claimed	v0.6-g5+v0.7-g5-g6	implemented	docs/c3eco_measurement_workbook.md;Compiler_new_ws/Short_Hand/src/evidence/MeasurementWorkbook.cpp;schemas/c3eco_measurement_workbook_v1.schema.json	scripts/check_c3eco_measurement_workbook.sh	measurement-runtime	PR89	no
G6	mandatory_gate	security_floor	v0.6-g6+v0.7-g7	implemented	docs/c3eco_auditor_bundle.md;Compiler_new_ws/Short_Hand/src/evidence/AuditorBundle.cpp	scripts/check_c3eco_auditor_bundle.sh;tests/c3eco/audit/test_auditor_bundle.py	security-and-evidence	PR91	no
G7	mandatory_gate	safety_privacy_accessibility_floor	v0.6-g7+v0.7-g8	implemented	docs/c3eco_certification_profile.md;docs/c3eco_certification_assessment.md;Compiler_new_ws/Short_Hand/src/evidence/CertificationAssessment.cpp	scripts/check_c3eco_certification_profile.sh;scripts/check_c3eco_assessment.sh	certification-scoring	PR90	no
G8	mandatory_gate	repeatability	v0.6-g8+v0.7-g9	partial	docs/c3eco_language_contract.md;docs/compiler_test_strategy.md;docs/execution_semantics_beta_0_4.md;docs/enterprise_packages_stdlib_ffi.md;docs/concurrent_serving_runtime.md;docs/c3eco_measurement_workbook.md	scripts/check_c3eco_language_blocks.sh;scripts/check_semantic_differential.sh;scripts/check_enterprise_packages_stdlib_ffi.sh;scripts/check_concurrent_serving_runtime.sh;scripts/check_c3eco_measurement_workbook.sh	measurement-runtime	PR95	yes
G9	mandatory_gate	evidence_retention	v0.6-g9+v0.7-g10	implemented	docs/c3eco_auditor_bundle.md;Compiler_new_ws/Short_Hand/src/evidence/AuditorBundle.cpp	scripts/check_c3eco_auditor_bundle.sh;tests/c3eco/audit/test_auditor_bundle.py	auditor-bundle	PR91	no
G10	mandatory_gate	claims_integrity	v0.6-g10+v0.7-g11	implemented	docs/c3eco_schema_and_claim_safety.md;scripts/check_c3eco_claims_and_schema.sh;mlir/lib/ShortHandDialect.cpp;docs/mlir_lowering.md	scripts/check_c3eco_claims_and_schema.sh;mlir/test/test_boundaries.py;scripts/check_mlir_dialect.sh;tests/mlir_lowering/test_runtime_lowering.py	claim-safety	PR82	no
G11	mandatory_gate	no_offset_only_claim	v0.6-g11+v0.7-g12	implemented	docs/c3eco_schema_and_claim_safety.md;examples/green_ai/image_classification.greenai	scripts/check_c3eco_claims_and_schema.sh	claim-safety	PR82	no
G12	mandatory_gate	recertification_acceptance	v0.6-g12+v0.7-eligibility-prerequisite	implemented	docs/c3eco_auditor_bundle.md;Compiler_new_ws/Short_Hand/src/evidence/AuditorBundle.cpp	scripts/check_c3eco_auditor_bundle.sh;tests/c3eco/audit/test_auditor_bundle.py	auditor-bundle	PR91	no
G13	mandatory_gate	no_quality_degradation	v0.6-g13+v0.7-g13	implemented	docs/c3eco_certification_assessment.md;Compiler_new_ws/Short_Hand/src/evidence/CertificationAssessment.cpp;docs/mlir_lowering.md	scripts/check_c3eco_assessment.sh;tests/mlir_lowering/test_runtime_lowering.py	claim-safety	PR90	no
G14	mandatory_gate	materiality_control	v0.6-g14+v0.7-g14	implemented	docs/c3eco_certification_profile.md;docs/c3eco_measurement_workbook.md;docs/c3eco_certification_assessment.md;Compiler_new_ws/Short_Hand/src/evidence/CertificationAssessment.cpp	scripts/check_c3eco_certification_profile.sh;scripts/check_c3eco_measurement_workbook.sh;scripts/check_c3eco_assessment.sh	certification-scoring	PR90	no
